ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2004,4711,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2005,3303,-99,-99,0,0,0.5,0.36,0.01,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2006,5752,-99,-99,0,0.02,0.07,0.47,0.44,0.001,0
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2007,1149,-99,-99,0,0.03,0.24,0.38,0.32,0.02,0
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2008,1725,-99,-99,0,0.03,0.4,0.52,0.03,0.004,0
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2009,539,-99,-99,0,0.06,0.21,0.65,0.08,0,0
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2010,2139,0.13,-99,0,-99,0.457,0.366,0.177,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2011,1608,0.21,-99,0,-99,0.165,0.611,0.128,0.096,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2012,908,0.24,-99,0,-99,0.239,0.494,0.268,0.006,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2013,2283,0.42,-99,0,-99,0.334,0.666,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Toutle River,Chinook,Fall-run,,2014,745,0.5,-99,0,-99,0.089,0.736,0.175,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,,1996,437,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,,1997,27,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,,1998,257,-99,-99,0,-99,-99,-99,-99,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Upper Cowlitz River,Chinook,Fall-run,,1999,1,-99,-99,0,-99,-99,-99,-99,0,-99
